force,torque,pow,rpm,vel,uts,fpr
3480.0886,6.141,2.459679,2163.5911,42.171,185.7625,0.019491206
3824.001,6.764,2.460337,2163.3271,60.539,194.1913,0.02798421
3936.4451,6.408,2.458693,2156.8613,58.536,194.1913,0.027139436
4428.0898,6.586,2.461652,2547.3525,99.621,210.8388,0.039107662
3890.3906,6.764,2.476449,1766.5806,42.915,190.3269,0.024292693
6391.6787,19.402,2.478751,600.0051,61.169,215.4662,0.101947467
5299.5332,7.12,2.465598,2160.7913,100.822,211.9429,0.046659758
5228.0596,6.764,2.461323,2549.499,83.599,193.8919,0.032790364
4917.043,10.146,2.46231,1753.5236,104.999,208.2467,0.059878863
2052.7039,4.895,2.210764,2568.3555,61.512,188.5268,0.023949956
2992.0325,5.963,2.472832,2558.7561,37.25,178.4046,0.014557855
5665.5757,7.209,2.463625,2546.9849,201.473,225.6616,0.07910255
5350.3726,11.392,2.470859,997.6348,43.831,225.5982,0.043934915
5636.8662,16.643,2.461323,599.9139,40.913,210.0918,0.06819812
5667.3691,16.198,2.4679,993.622,105.343,235.4119,0.10601919
6578.2886,9.612,2.467571,1362.8188,99.792,233.2595,0.073224702
5202.3408,11.214,2.474805,997.5388,42.572,225.5982,0.042677037
3602.1028,6.408,2.466584,2545.0037,36.564,178.4046,0.014366973
3643.6711,6.408,2.47053,2544.8889,43.545,178.4046,0.017110767
2916.0728,5.696,2.466913,2558.2644,37.537,178.4046,0.014672838
4653.8755,8.811,2.474476,1380.0394,39.31,191.0587,0.028484694
4941.8647,13.35,2.469544,999.3888,51.613,224.5843,0.051644565
6577.6904,9.434,2.46494,1370.1174,99.106,233.2595,0.072333947
3420.5769,6.141,2.4679,2551.5222,53.043,186.0936,0.020788767
5015.731,6.497,2.465269,2547.9321,83.027,193.8919,0.032586033
4039.3198,7.743,2.472174,1376.7026,52.414,199.8093,0.03807213
5660.1924,15.397,2.314341,600.0287,59.338,215.4662,0.098891936
4463.9766,11.481,2.47349,999.8216,40.855,225.5982,0.04086229
3964.5562,9.078,2.476778,1381.4749,38.853,191.0587,0.028124289
5712.8257,16.732,2.446855,600.2912,42.229,210.0918,0.070347525
6245.7402,8.544,2.456391,1757.002,148.201,218.3649,0.084348794
5242.4141,11.837,2.473161,998.5674,60.482,221.5021,0.060568771
4477.7329,12.193,2.470859,999.9958,42.343,225.5982,0.042343178
6206.2651,8.722,2.461323,1760.4102,147.171,218.3649,0.083600402
6504.7207,7.654,2.460008,2154.1777,203.991,190.0223,0.09469553
3331.4587,5.785,2.465269,2170.1858,51.556,171.4773,0.023756491
5379.6797,6.764,2.465269,2547.6646,83.828,193.8919,0.03290386
4784.2632,6.853,2.464612,2546.3152,106.201,210.8388,0.041707719
2338.0015,6.586,2.475134,1392.8728,59.166,192.8959,0.042477676
4262.7129,6.23,2.469215,2547.1768,51.613,186.0936,0.020262826
3793.1982,6.586,2.466256,2163.0122,51.155,171.4773,0.02364989
8295.7549,8.811,2.465598,2536.3997,202.045,225.6616,0.079658186
4035.731,8.01,2.474147,1379.6422,44.804,199.8093,0.032475087
7381.5474,14.685,2.466256,998.443,201.759,249.3077,0.202073629
3949.6035,7.832,2.474476,1372.4976,46.921,199.8093,0.034186581
5829.7559,8.989,2.460337,1754.5386,195.408,241.6836,0.11137287
5268.7305,8.989,2.460666,1759.7694,195.98,241.6836,0.111366864
5290.8608,11.036,2.470202,997.4826,43.316,225.5982,0.043425319
5706.8452,16.91,2.441265,599.5508,40.684,210.0918,0.067857469
4715.7798,11.481,2.474147,999.9568,36.449,225.5982,0.036450575
4035.1328,6.853,2.486642,2159.9451,59.338,194.1913,0.027471995
6249.6279,18.067,2.478422,600.1067,61.226,215.4662,0.10202519
6163.5005,16.109,2.364651,600.3178,49.896,214.6092,0.083115976
4156.5488,8.366,2.472832,1379.6752,51.899,199.8093,0.037616825
3857.7939,6.408,2.460995,2550.7524,55.962,188.5268,0.021939409
3612.5696,6.23,2.467242,2549.04,38.795,178.4046,0.015219455
4184.0615,9.078,2.465927,1382.2968,62.542,192.8959,0.045244986
5188.2856,7.832,2.458364,1764.3337,84.515,205.0572,0.047901936
3973.5278,6.586,2.471846,2541.0854,37.88,178.4046,0.014907016
7025.374,7.832,2.45672,2150.2346,200.901,190.0223,0.093432131
2556.3108,5.162,2.467242,2168.603,58.136,194.1913,0.026808042
3488.7612,6.141,2.468886,2161.3035,48.809,171.4773,0.022583131
2971.697,6.141,2.45935,1768.3267,42.343,190.3269,0.023945236
5196.0605,6.853,2.465927,2539.4797,107.002,210.8388,0.042135403
5116.5122,10.769,2.477436,997.3516,44.46,224.5843,0.044578061
3364.3545,5.785,2.474147,2558.6423,51.098,186.0936,0.019970748
4277.3667,6.408,2.463954,2158.9766,78.621,207.3997,0.036415865
4467.8638,9.167,2.473819,1372.6672,77.419,188.4414,0.056400415
7178.1904,19.58,2.478422,599.7991,106.43,228.1527,0.177442747
4696.9395,7.387,1.466319,1761.431,51.384,195.139,0.029171736
5688.6021,12.549,2.474476,991.9186,57.278,221.5021,0.057744658
6184.1353,8.633,2.466913,1759.915,148.029,218.3649,0.084111449
6325.5879,7.654,2.459022,2154.1853,151.005,190,0.070098427
5187.9863,11.214,2.472174,998.4344,45.833,224.5843,0.045904869
4177.4829,8.722,2.469544,1377.7114,45.605,199.8093,0.033101998
6098.9043,16.554,2.400821,599.7437,56.419,215.4662,0.094071851
4658.9595,9.345,2.475791,1375.4034,82.054,188.4414,0.059658134
5902.7256,17.889,2.475463,600.2589,48.637,214.6092,0.081026704
5325.8501,11.926,2.469544,999.3534,61.741,221.5021,0.061780948
4377.8486,8.722,2.47349,1374.9354,58.708,192.8959,0.042698733
3691.8186,6.319,2.464612,2550.8291,55.275,186.0936,0.021669425
4949.3408,11.125,2.463954,1000.6978,41.256,225.5982,0.041227232
2957.6411,7.654,1.580747,998.6902,150.49,244.8175,0.15068737
6361.7734,12.816,2.47053,999.5296,82.855,229.4368,0.082893993
4363.7935,7.298,2.465598,1766.4866,48.981,195.139,0.02772792
3974.126,6.141,2.47053,2551.7673,39.425,178.4046,0.015450077
7121.9683,10.057,2.466256,1367.321,102.081,233.2595,0.07465767
6102.792,12.905,2.471846,998.5118,78.106,229.4368,0.078222411
2751.8921,5.251,2.465269,2568.0259,54.645,188.5268,0.021278991
4587.7847,7.654,2.457378,1766.7823,60.94,197.9676,0.034492082
3557.8428,6.319,2.466913,2543.3872,58.365,188.5268,0.022947745
4325.2153,7.209,2.463954,1759.7834,79.193,205.0572,0.045001561
5569.8784,7.921,2.471846,1760.9222,99.85,208.2467,0.056703243
5169.7441,7.921,2.461981,1766.7974,101.223,208.2467,0.057291798
5809.4204,12.371,2.47053,999.1748,79.365,229.4368,0.079430546
2414.5593,5.251,2.455733,1773.288,62.256,197.9676,0.035107664
2547.04,5.696,2.4679,2553.6316,41.084,178.4046,0.01608846
5987.0586,7.476,2.463625,2157.7563,154.781,190,0.071732382
4715.1816,10.769,2.470859,1001.6302,37.022,225.5982,0.036961745
5077.3364,7.921,2.466256,1764.6132,82.34,205.0572,0.046661784
5675.145,8.01,2.460995,1755.0793,100.994,208.2467,0.057543839
5563.897,8.811,2.463954,1760.0739,195.236,241.6836,0.110924888
7324.1294,9.701,2.469544,1375.7458,152.893,231.327,0.11113463
4259.1245,6.942,2.462967,1771.7678,44.289,190.3269,0.024997068
3074.5713,6.319,2.461652,1773.2362,43.716,190.3269,0.02465323
4036.9272,6.942,2.460995,1764.08,63.801,197.9676,0.036166727
6300.4668,12.727,2.474147,998.4096,77.305,229.4368,0.077428142
7689.8721,13.617,2.47053,998.904,151.005,244.8175,0.151170683
4874.5776,11.125,2.471517,999.3752,61.111,221.5021,0.061149206
5411.3794,10.858,2.469873,999.4996,44.517,224.5843,0.044539287
4768.1143,9.256,2.473819,1380.6086,36.22,191.0587,0.026234807
3739.0693,7.743,2.471846,1384.0284,50.812,199.8093,0.036713119
6139.5757,8.188,2.460666,2539.6182,80.738,193.8919,0.031791393
5814.2056,7.387,2.465598,2154.3774,96.359,211.9429,0.044727075
4040.5161,8.188,2.477436,1375.1528,36.106,191.0587,0.026255991
5092.8867,10.858,2.471188,998.5948,41.714,225.5982,0.041772699
7257.4395,13.172,2.469544,1000.762,100.307,235.4119,0.100230624
6866.875,18.156,2.398519,598.9166,79.88,221.075,0.133374163
5716.7139,16.999,2.455076,599.2503,41.37,210.0918,0.069036261
3423.8665,6.675,1.278892,1773.2474,42.458,190.3269,0.023943641
6500.8335,7.832,2.458364,2153.968,204.163,190.0223,0.094784602
7699.4414,13.884,2.464612,995.788,149.689,244.8175,0.150322157
5174.2295,11.303,2.47053,1001.0838,42.858,224.5843,0.042811601
5078.2334,10.858,2.479408,998.9164,48.18,224.5843,0.048232264
3151.7273,6.23,2.461981,2164.8281,43.831,185.7625,0.020246873
5836.0361,16.02,2.386024,600.1533,37.994,210.0918,0.063307158
2186.3811,6.408,2.476778,1390.7629,76.961,188.4414,0.055337254
5516.6465,8.01,2.466913,1760.7249,100.422,208.2467,0.057034463
3359.2708,14.952,2.310724,600.0042,96.817,228.1527,0.161360537
3112.5513,5.963,2.466584,2168.1924,42.515,185.7625,0.0196085
3973.5278,6.23,2.468557,2557.3757,45.319,186.0936,0.0177209
6179.0508,17.266,2.452445,599.717,61.97,215.4662,0.103332072
3612.5696,6.675,2.466256,1763.2366,200.558,241.6836,0.113744236
5667.6689,7.565,2.465927,2149.2788,93.098,211.9429,0.043315925
4410.1465,8.544,2.468557,1374.1606,53.387,192.8959,0.038850626
5760.9736,17.8,2.478422,598.8593,41.542,210.0918,0.069368548
5811.5137,7.654,2.460666,2153.6274,150.318,190,0.069797589
6565.4287,9.879,2.458035,1370.2136,102.482,233.2595,0.074792718
6200.2837,7.565,2.463625,2152.7725,147.4,190,0.068469845
5358.4468,11.214,2.469544,998.2236,42.801,225.5982,0.042877167
4572.5332,7.476,2.460666,1764.6606,52.013,195.139,0.02947479
3141.2605,6.052,2.470202,2555.4465,41.084,178.4046,0.016077034
3158.9045,5.785,2.469215,2554.5073,154.838,226.2221,0.060613646
6355.792,19.58,2.479408,599.8766,58.079,215.4662,0.096818246
3789.3105,5.963,2.468886,2554.0466,54.703,186.0936,0.021418168
5000.7783,7.387,2.463954,2152.79,96.302,211.9429,0.044733578
4992.4048,7.476,2.461981,1763.5508,58.422,197.9676,0.033127483
3904.1472,6.408,2.46494,2163.3557,59.338,194.1913,0.027428684
3018.6482,5.785,2.461652,2159.3618,42.343,185.7625,0.019609034
6618.6606,19.669,2.48467,599.3203,77.248,221.075,0.128892681
3343.1221,5.963,2.469873,2165.4146,48.866,171.4773,0.022566579
4844.0737,8.544,2.470859,1373.442,49.152,199.8093,0.03578746
4959.5088,8.722,2.474476,1382.0642,51.27,199.8093,0.037096685
4233.1064,6.764,2.481381,2163.8704,61.512,194.1913,0.028426841
6214.3394,7.387,2.462967,2156.5701,148.773,190,0.068985933
6349.2129,13.083,2.472503,1002.1646,79.822,229.4368,0.07964959
4199.9116,8.366,2.46231,1384.0138,43.659,199.8093,0.031545206
4313.8516,8.099,2.472503,1375.4624,37.88,191.0587,0.02753983
3168.175,6.052,2.468229,2553.1035,50.411,186.0936,0.019744989
3660.7173,7.387,2.465927,2539.8584,37.537,178.4046,0.01477917
5795.3652,17.355,2.46494,599.3162,42.973,210.0918,0.071703385
6996.665,7.654,2.461323,2156.5728,201.473,190.0223,0.093422768
3047.9556,6.141,2.460995,1775.918,39.425,190.3269,0.022199786
3601.2056,6.23,2.463296,2162.3391,50.239,171.4773,0.023233636
5758.2817,10.324,2.467242,1364.3726,203.133,241.6836,0.148883817
3105.3738,6.052,2.471517,2548.6238,38.509,178.4046,0.015109723
4969.9756,8.544,2.460337,1763.1456,200.786,241.6836,0.113879421
3517.1711,15.842,2.401807,599.2915,102.596,228.1527,0.171195487
3745.9478,13.973,2.478422,599.7159,105.343,228.1527,0.175654839
4871.5869,7.654,2.462639,1767.5063,59.452,197.9676,0.033636089
